Symbol,RS Rank
NSE:ORIANA,99.9
NSE:HITECHGEAR,99.8
NSE:TRIL,99.7
NSE:DOLATALGO,99.6
NSE:KIRLOSBROS,99.5
NSE:GET_D,99.4
NSE:POWERINDIA,99.3
NSE:SHAKTIPUMP,99.2
NSE:PURVA,99.1
NSE:KIRLPNU,99
NSE:COCHINSHIP,98.9
NSE:ALPEXSOLAR,98.8
NSE:SBGLP,98.7
NSE:HINDZINC,98.6
NSE:FORCEMOT,98.5
NSE:MOIL,98.4
NSE:WEBELSOLAR,98.3
NSE:KECL,98.2
NSE:NETWEB,98.1
NSE:SWSOLAR,98
NSE:ABB,97.9
NSE:SCHNEIDER,97.8
NSE:KIRLOSENG,97.7
NSE:GALLANTT,97.6
NSE:SIEMENS,97.5
NSE:IREDA,97.4
NSE:HUDCO,97.3
NSE:YUKEN,97.2
NSE:HINDCOPPER,97.1
NSE:DSSL,97
NSE:JYOTICNC,96.9
NSE:GODFRYPHLP,96.8
NSE:HAL,96.7
NSE:VEDL,96.6
NSE:IFCI,96.5
NSE:LINDEINDIA,96.4
NSE:TEJASNET,96.3
NSE:PREMEXPLN,96.2
NSE:ASAL,96.1
NSE:KPIGREEN,96
NSE:DATAPATTNS,95.9
NSE:CUMMINSIND,95.8
NSE:BDL,95.7
NSE:GPTINFRA,95.6
NSE:EMUDHRA,95.5
NSE:CARBORUNIV,95.4
NSE:CENTURYTEX,95.3
NSE:SHAILY,95.2
NSE:JWL,95.1
NSE:SALZERELEC,95
NSE:INDUSTOWER,94.9
NSE:BHEL,94.8
NSE:CGPOWER,94.7
NSE:ALLSEC,94.7
NSE:HGINFRA,94.6
NSE:SOBHA,94.5
NSE:VSSL,94.4
NSE:TECHNOE,94.3
NSE:AEGISCHEM,94.2
NSE:AZAD,94.1
NSE:JSFB,94
NSE:TIMKEN,93.9
NSE:ARE_M,93.8
NSE:SWELECTES,93.7
NSE:INDIGO,93.6
NSE:JITFINFRA,93.5
NSE:INDOTECH,93.4
NSE:PRESTIGE,93.3
NSE:EXIDEIND,93.2
NSE:SCHAEFFLER,93.1
NSE:SUPREMEIND,93
NSE:MOTILALOFS,92.9
NSE:WABAG,92.8
NSE:BBL,92.7
NSE:INOXWIND,92.6
NSE:MAXIND,92.5
NSE:M_M,92.4
NSE:GEOJITFSL,92.3
NSE:NATIONALUM,92.2
NSE:SAIL,92.1
NSE:DIXON,92
NSE:IRFC,91.9
NSE:CENTENKA,91.8
NSE:MANGLMCEM,91.7
NSE:THERMAX,91.6
NSE:BASF,91.5
NSE:POLICYBZR,91.4
NSE:DLINKINDIA,91.3
NSE:HPL,91.2
NSE:SOLARA,91.1
NSE:BEML,91
NSE:MANORAMA,90.9
NSE:SMSPHARMA,90.8
NSE:V2RETAIL,90.7
NSE:BALMLAWRIE,90.6
NSE:GMRP_UI,90.5
NSE:EIHOTEL,90.4
NSE:TRITURBINE,90.3
NSE:CROMPTON,90.2
NSE:ENGINERSIN,90.1
NSE:NEWGEN,90
NSE:TIMETECHNO,89.9
NSE:BEL,89.8
NSE:ARVIND,89.7
NSE:SANDUMA,89.6
NSE:TITAGARH,89.5
NSE:RICOAUTO,89.4
NSE:TATAINVEST,89.4
NSE:ARVSMART,89.3
NSE:KPIL,89.2
NSE:BLUESTARCO,89.1
NSE:FINPIPE,89
NSE:SUNDARMHLD,88.9
NSE:RAMRAT,88.8
NSE:JINDALSTEL,88.7
NSE:HUBTOWN,88.6
NSE:HEG,88.5
NSE:GEPIL,88.4
NSE:GANESHHOUC,88.3
NSE:NBCC,88.2
NSE:TRENT,88.1
NSE:ESTER,88
NSE:VENUSPIPES,87.9
NSE:SUDARSCHEM,87.8
NSE:BHARATFORG,87.7
NSE:GRSE,87.6
NSE:OIL,87.5
NSE:ISMTLTD,87.4
NSE:MAZDOCK,87.3
NSE:ICIL,87.2
NSE:IRCON,87.1
NSE:SKFINDIA,87
NSE:SMCGLOBAL,86.9
NSE:POLYCAB,86.8
NSE:MSTCLTD,86.7
NSE:HAVELLS,86.6
NSE:DYCL,86.5
NSE:RVNL,86.4
NSE:LIKHITHA,86.3
NSE:NCC,86.2
NSE:BRIGADE,86.1
NSE:INDRAMEDCO,86
NSE:BFUTILITIE,85.9
NSE:APARINDS,85.8
NSE:SOTL,85.7
NSE:JUBLPHARMA,85.6
NSE:AARTIPHARM,85.5
NSE:LUXIND,85.4
NSE:GRINFRA,85.3
NSE:NHPC,85.2
NSE:ANUP,85.1
NSE:ZYDUSLIFE,85
NSE:RECLTD,84.9
NSE:INDOSTAR,84.8
NSE:JIOFIN,84.7
NSE:KSCL,84.6
NSE:OBEROIRLTY,84.5
NSE:AHL,84.4
NSE:DHANUKA,84.3
NSE:SMLISUZU,84.2
NSE:CHOICEIN,84.2
NSE:KEI,84.1
NSE:ZOMATO,84
NSE:GODREJPROP,83.9
NSE:DOLLAR,83.8
NSE:PENINLAND,83.7
NSE:THOMASCOOK,83.6
NSE:KSB,83.5
NSE:WOCKPHARMA,83.4
NSE:AHLUCONT,83.3
NSE:ACE,83.2
NSE:TIDEWATER,83.1
NSE:INDIANHUME,83
NSE:ESCORTS,82.9
NSE:RAYMOND,82.8
NSE:VERTOZ,82.7
NSE:PITTIENG,82.6
NSE:KFINTECH,82.5
NSE:ORCHPHARMA,82.4
NSE:NMDC,82.3
NSE:STAR,82.2
NSE:CARTRADE,82.1
NSE:SHRIPISTON,82
NSE:GOKULAGRO,81.9
NSE:ANANDRATHI,81.8
NSE:ISGEC,81.7
NSE:SUNDARMFIN,81.6
NSE:IRB,81.5
NSE:SHILPAMED,81.4
NSE:INOXGREEN,81.3
NSE:SJVN,81.2
NSE:ADANIPOWER,81.1
NSE:SOLARINDS,81
NSE:IRCTC,80.9
NSE:HERITGFOOD,80.8
NSE:ENDURANCE,80.7
NSE:TATAPOWER,80.6
NSE:TEGA,80.5
NSE:NAM_INDIA,80.4
NSE:ASHIANA,80.3
NSE:EIHAHOTELS,80.2
NSE:VIJAYA,80.1
NSE:VOLTAS,80
NSE:EPIGRAL,79.9
NSE:CUPID,79.8
NSE:MAITHANALL,79.7
NSE:AJMERA,79.6
NSE:MMFL,79.5
NSE:ANANTRAJ,79.4
NSE:BHARTIARTL,79.3
NSE:QUESS,79.2
NSE:JSWENERGY,79.1
NSE:LLOYDSENGG,79
NSE:CIGNITITEC,78.9
NSE:CONCOR,78.9
NSE:REDTAPE,78.8
NSE:HINDALCO,78.7
NSE:KESORAMIND,78.6
NSE:RAILTEL,78.5
NSE:ADANIGREEN,78.4
NSE:BIGBLOC,78.3
NSE:JSWINFRA,78.2
NSE:POWERGRID,78.1
NSE:SCI,78
NSE:REFEX,77.9
NSE:ABCAPITAL,77.8
NSE:KSL,77.7
NSE:TORNTPOWER,77.6
NSE:PETRONET,77.5
NSE:PFC,77.4
NSE:JSL,77.3
NSE:LLOYDSME,77.2
NSE:GENESYS,77.1
NSE:GAIL,77
NSE:HEROMOTOCO,76.9
NSE:OFSS,76.8
NSE:HIRECT,76.7
NSE:HBLPOWER,76.6
NSE:ASTRAMICRO,76.5
NSE:UNIVCABLES,76.4
NSE:EDELWEISS,76.3
NSE:IIFLSEC,76.2
NSE:DREDGECORP,76.1
NSE:TCNSBRANDS,76
NSE:PTC,75.9
NSE:NAUKRI,75.8
NSE:GPIL,75.7
NSE:MUTHOOTFIN,75.6
NSE:GLENMARK,75.5
NSE:WELENT,75.4
NSE:KEC,75.3
NSE:ASALCBR,75.2
NSE:MOTHERSON,75.1
NSE:ADANIPORTS,75
NSE:DMART,74.9
NSE:CENTUM,74.8
NSE:BOSCHLTD,74.7
NSE:MAXESTATES,74.6
NSE:MCX,74.5
NSE:ASHOKLEY,74.4
NSE:ITDCEM,74.3
NSE:CESC,74.2
NSE:ADFFOODS,74.1
NSE:ASTRAL,74
NSE:GPPL,73.9
NSE:ORIENTHOT,73.8
NSE:IMFA,73.7
NSE:LTFOODS,73.6
NSE:NUVAMA,73.6
NSE:TIRUMALCHM,73.5
NSE:TATASTEEL,73.4
NSE:EICHERMOT,73.3
NSE:JUSTDIAL,73.2
NSE:INOXINDIA,73.1
NSE:SARDAEN,73
NSE:IFBIND,72.9
NSE:360ONE,72.8
NSE:PNCINFRA,72.7
NSE:PAISALO,72.6
NSE:BAJAJ_AUTO,72.5
NSE:KAYNES,72.4
NSE:PRICOLLTD,72.3
NSE:TDPOWERSYS,72.2
NSE:GLAXO,72.1
NSE:SOMANYCERA,72
NSE:DOMS,71.9
NSE:BIOCON,71.8
NSE:GENUSPOWER,71.7
NSE:TAJGVK,71.6
NSE:ELECON,71.5
NSE:SAREGAMA,71.4
NSE:UNOMINDA,71.3
NSE:SIGNATURE,71.2
NSE:VBL,71.1
NSE:ORIENTPPR,71
NSE:AMBUJACEM,70.9
NSE:SKIPPER,70.8
NSE:GRASIM,70.7
NSE:VGUARD,70.6
NSE:SBIN,70.5
NSE:AMRUTANJAN,70.4
NSE:MEDANTA,70.3
NSE:GMBREW,70.2
NSE:CHAMBLFERT,70.1
NSE:CELLO,70
NSE:KOKUYOCMLN,69.9
NSE:MARICO,69.8
NSE:ABFRL,69.7
NSE:BECTORFOOD,69.6
